ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1679195	2.67e-04	4.15e-05	4.456271	1.626857	0.3969109	313760554	C20orf24	chromosome 20 open reading frame 24
ILMN_1728392	3.16e-04	5.10e-05	4.396165	1.626012	0.4984085	210147580	C19orf38	chromosome 19 open reading frame 38
ILMN_1684040	3.16e-04	5.10e-05	-4.395802	1.625856	-0.7651149	257743160	THEMIS	thymocyte selection associated
ILMN_1669113	3.31e-04	5.40e-05	4.379349	1.622219	0.5966601	302370954	ATF5	activating transcription factor 5
ILMN_1693669	3.84e-04	6.45e-05	-4.326766	1.619841	-0.6233242	221136853	WRAP53	WD repeat containing antisense to TP53
ILMN_1762002	3.29e-04	5.34e-05	-4.382454	1.619251	-0.3404491	75709186	CSTF3	cleavage stimulation factor subunit 3
ILMN_1770084	2.84e-04	4.47e-05	-4.434732	1.617352	-0.2766714	170763516	TACC1	transforming acidic coiled-coil containing protein 1
ILMN_1703926	2.90e-04	4.59e-05	-4.427093	1.614966	-0.497614	194473721	PTGER2	prostaglandin E receptor 2
ILMN_1787509	2.88e-04	4.55e-05	4.429641	1.606841	0.5933759	156105694	HELZ2	helicase with zinc finger 2
ILMN_1777118	2.96e-04	4.71e-05	-4.419549	1.606326	-0.2694211	289191400	INTS9	integrator complex subunit 9
ILMN_2391141	2.95e-04	4.68e-05	-4.420991	1.60623	-0.3427506	332000023	UBE3A	ubiquitin protein ligase E3A
ILMN_1737585	3.51e-04	5.77e-05	-4.359736	1.600479	-0.5055004	671744846	VARS2	valyl-tRNA synthetase 2, mitochondrial
ILMN_1652082	2.89e-04	4.58e-05	4.427587	1.598338	0.2508947	187608760	ELF4	E74 like ETS transcription factor 4
ILMN_1788439	3.79e-04	6.34e-05	4.331948	1.594627	0.8252904	NA		
ILMN_1791057	2.90e-04	4.60e-05	4.426047	1.593939	0.3489989	574584801	IFNAR2	interferon alpha and beta receptor subunit 2
ILMN_1739792	2.88e-04	4.54e-05	4.429803	1.592819	0.3036767	147899824	RHOG	ras homolog family member G
ILMN_1662359	3.70e-04	6.14e-05	4.34112	1.592322	0.613618	15718726	HIST1H4K	histone cluster 1, H4k
ILMN_1654812	3.75e-04	6.24e-05	4.336573	1.590763	0.5376658	589058166	UNC93B1	unc-93 homolog B1 (C. elegans)
ILMN_1760890	3.10e-04	4.97e-05	4.403533	1.590283	0.3723286	47578100	SEPN1	selenoprotein N, 1
ILMN_1656628	3.11e-04	4.99e-05	-4.402633	1.590138	-0.3729846	386781213	WDR4	WD repeat domain 4
ILMN_2216265	3.75e-04	6.24e-05	-4.336256	1.588857	-0.4640753	665821201	LONP2	lon peptidase 2, peroxisomal
ILMN_1764861	3.33e-04	5.43e-05	-4.377259	1.585405	-0.4112415	103471986	ISOC1	isochorismatase domain containing 1
ILMN_1736965	3.63e-04	6.01e-05	-4.347473	1.583914	-0.5634362	205277444	SIGIRR	single Ig and TIR domain containing
ILMN_1781097	2.93e-04	4.64e-05	-4.423415	1.583607	-0.3032968	116805346	UBXN4	UBX domain protein 4
ILMN_2133534	3.28e-04	5.33e-05	-4.382784	1.583215	-0.6110071	NA		
ILMN_1727045	3.24e-04	5.24e-05	-4.388183	1.580581	-0.5972369	213385266	RASGRP3	RAS guanyl releasing protein 3
ILMN_1667213	3.56e-04	5.86e-05	-4.354879	1.580304	-0.408344	47132599	DFFA	DNA fragmentation factor subunit alpha
ILMN_1724658	3.06e-04	4.89e-05	-4.408331	1.578798	-0.4181563	734703978	BNIP3	BCL2 interacting protein 3
ILMN_2148507	3.80e-04	6.35e-05	-4.331183	1.575356	-0.5061945	166795253	ANKRD13C	ankyrin repeat domain 13C
ILMN_1684576	4.05e-04	6.86e-05	-4.308325	1.574205	-0.9750738	148277059	CLN8	ceroid-lipofuscinosis, neuronal 8
ILMN_1651228	2.89e-04	4.57e-05	-4.428246	1.572764	-0.4911585	71565158	RPS28	ribosomal protein S28
ILMN_1773742	3.24e-04	5.24e-05	-4.38783	1.571512	-0.4121898	313482783	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
ILMN_1671486	3.77e-04	6.28e-05	4.334387	1.569782	1.005839	NA		
ILMN_1768284	2.96e-04	4.72e-05	-4.418901	1.569475	-0.4334911	224589133	P2RY8	purinergic receptor P2Y8
ILMN_1791576	2.98e-04	4.74e-05	4.417309	1.567329	0.3894907	258613868	CHSY1	chondroitin sulfate synthase 1
ILMN_2326071	2.65e-04	4.12e-05	4.458197	1.567185	0.2893733	314122163	MYL6	myosin light chain 6
ILMN_2412549	3.06e-04	4.90e-05	-4.407949	1.566985	-0.5694014	77812668	GAR1	GAR1 ribonucleoprotein
