ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1735792	RHBDF2	rhomboid 5 homolog 2	1.413	8.546
ILMN_1737627	MAPK14	mitogen-activated protein kinase 14	1.34	6.701
ILMN_1738530	ATAD3A	ATPase family, AAA domain containing 3A	-1.182	3.376
ILMN_1740160	PLCG1	phospholipase C gamma 1	-1.053	11.461
ILMN_1742001	CD160	CD160 molecule	-1.326	5.574
ILMN_1742026	PYHIN1	pyrin and HIN domain family member 1	-1.027	8.197
ILMN_1742601	CR1	complement component 3b/4b receptor 1 (Knops blood group)	1.193	4.766
ILMN_1743034	KIF1B	kinesin family member 1B	1.043	6.97
ILMN_1745112	FAM102A	family with sequence similarity 102 member A	-1.162	7.472
ILMN_1745242	PLSCR1	phospholipid scramblase 1	1.557	10.481
ILMN_1745374	IFI35	interferon induced protein 35	1.125	10.696
ILMN_1746138	CARMIL2	capping protein regulator and myosin 1 linker 2	-1.125	4.699
ILMN_1747744	LHFPL2	lipoma HMGIC fusion partner-like 2	1.403	12.021
ILMN_1750294	ADAM7	ADAM metallopeptidase domain 7	-1.367	8.917
ILMN_1750497	HCAR2	hydroxycarboxylic acid receptor 2	1.265	4.968
ILMN_1752226	P2RY11	purinergic receptor P2Y11	-1.131	5.045
ILMN_1752755	VWF	von Willebrand factor	1.056	4.021
ILMN_1753347	DEFA4	defensin alpha 4	1.286	3.704
ILMN_1755843	SLC26A8	solute carrier family 26 member 8	1.733	5.823
ILMN_1756238	TMEM217	transmembrane protein 217	1.16	3.448
ILMN_1756705	CHTF18	chromosome transmission fidelity factor 18	-1.105	5.019
ILMN_1756953	GBP6	guanylate binding protein family member 6	3.325	10.932
ILMN_1757391	TMEM50B	transmembrane protein 50B	-1.15	4.016
ILMN_1757408	ZNF256	zinc finger protein 256	-1.035	8.224
ILMN_1759075	TNFRSF13B	TNF receptor superfamily member 13B	-1.471	7.349
ILMN_1759250	TAP2	transporter 2, ATP binding cassette subfamily B member	1.008	9.476
ILMN_1760102			-1.047	5.314
ILMN_1760688	SAMD14	sterile alpha motif domain containing 14	1.288	4.795
ILMN_1761031	PTPDC1	protein tyrosine phosphatase domain containing 1	-1.101	3.87
ILMN_1761260	COBLL1	cordon-bleu WH2 repeat protein like 1	-1.02	6.475
ILMN_1761793	APOL1	apolipoprotein L1	1.302	6.083
ILMN_1762713	MCEMP1	mast cell expressed membrane protein 1	1.556	7.359
ILMN_1763433	TRIM9	tripartite motif containing 9	1.163	3.833
ILMN_1764321	ACOT4	acyl-CoA thioesterase 4	-1.002	2.181
ILMN_1767377			1.14	6.063
ILMN_1768973	HIST2H2AC	histone cluster 2, H2ac	1.103	9.28
ILMN_1769520	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.089	13.397
ILMN_1769575	JAM3	junctional adhesion molecule 3	1.049	6.503
ILMN_1770818			-1.359	3.062
ILMN_1771385	GBP4	guanylate binding protein 4	1.309	12.138
ILMN_1771599	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.634	8.664
ILMN_1772627	NSG1	neuron specific gene family member 1	-1.116	1.672
ILMN_1773567	LAMA5	laminin subunit alpha 5	-1.545	5.207
ILMN_1773650	LRRN3	leucine rich repeat neuronal 3	-1.341	4.414
ILMN_1774733	SOCS1	suppressor of cytokine signaling 1	1.915	11.2
ILMN_1775235	AFF3	AF4/FMR2 family member 3	-1.717	6.612
ILMN_1775373	CMTM5	CKLF like MARVEL transmembrane domain containing 5	1.291	7.141
ILMN_1775542	FCMR	Fc fragment of IgM receptor	-1.245	11.544
ILMN_1776157	SEPT4	septin 4	2.291	11.983
ILMN_1776483			1.107	8.576
ILMN_1777759	FIGNL2	fidgetin like 2	-1.234	4.277
ILMN_1777853			1.033	5.299
ILMN_1778059	CASP4	caspase 4	1.194	8.051
ILMN_1778681	EBF1	early B-cell factor 1	-1.691	7.579
ILMN_1779071	FEZ1	fasciculation and elongation protein zeta 1	-1.133	3.921
ILMN_1779558	GAS6	growth arrest specific 6	1.028	7.283
ILMN_1779934	CDH23	cadherin-related 23	1.218	2.563
ILMN_1780546	OSM	oncostatin M	1.19	5.602
ILMN_1780831	SLC6A12	solute carrier family 6 member 12	1.307	5.012
ILMN_1781001	SOCS3	suppressor of cytokine signaling 3	1.49	5.17
ILMN_1781085	STAP1	signal transducing adaptor family member 1	-1.148	5.335
ILMN_1782429	TMEM56	transmembrane protein 56	1.692	3.785
ILMN_1782487	GBP1P1	guanylate binding protein 1 pseudogene 1	2.267	12.787
ILMN_1782551	E2F5	E2F transcription factor 5	-1.108	8.469
ILMN_1782704	CD19	CD19 molecule	-1.573	6.974
ILMN_1782851	TAPBP	TAP binding protein (tapasin)	1.176	7.962
ILMN_1783627			1.16	6.86
ILMN_1783798	GAS8	growth arrest specific 8	1.06	6.554
ILMN_1783805	PNMA3	paraneoplastic Ma antigen 3	-1.341	3.728
ILMN_1783843	MIIP	migration and invasion inhibitory protein	1.03	7.391
ILMN_1784380	DTX3L	deltex E3 ubiquitin ligase 3L	1.039	6.392
ILMN_1784948	SPOCD1	SPOC domain containing 1	1.001	4.525
ILMN_1785345	GPR84	G protein-coupled receptor 84	2.03	6.372
ILMN_1785732	TNFAIP6	TNF alpha induced protein 6	1.628	9.099
ILMN_1787186	NOV	nephroblastoma overexpressed	-1.471	5.134
ILMN_1788002	MAPK14	mitogen-activated protein kinase 14	1.281	5.37
ILMN_1788531	SIT1	signaling threshold regulating transmembrane adaptor 1	-1.024	3.951
ILMN_1788886	TOX	thymocyte selection associated high mobility group box	-1.434	5.879
ILMN_1789086			1.085	5.367
ILMN_1791006	AHI1	Abelson helper integration site 1	-1.165	4.433
ILMN_1791329	FCRL2	Fc receptor like 2	-1.619	7.859
ILMN_1791759	CXCL10	C-X-C motif chemokine ligand 10	1.091	4.706
ILMN_1792455	TMEM158	transmembrane protein 158 (gene/pseudogene)	1.238	8.078
ILMN_1794863	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	-1.095	4.772
ILMN_1795336	PTER	phosphotriesterase related	-1.1	3.184
ILMN_1796316	MMP9	matrix metallopeptidase 9	1.015	2.261
ILMN_1796755	ITGB5	integrin subunit beta 5	1.078	5.976
ILMN_1796976	NLRC4	NLR family CARD domain containing 4	1.023	7.068
ILMN_1797428	FCRL3	Fc receptor like 3	-1.425	7.932
ILMN_1797522	DUSP3	dual specificity phosphatase 3	1.076	11.52
ILMN_1797776	PRSS23	protease, serine 23	-1.179	4.512
ILMN_1797975	CXCR3	C-X-C motif chemokine receptor 3	-1.246	7.102
ILMN_1798270	SMCO4	single-pass membrane protein with coiled-coil domains 4	1.07	12.875
ILMN_1798612	SNX20	sorting nexin 20	1.176	6.567
ILMN_1798706	GPR183	G protein-coupled receptor 183	-1.206	10.411
ILMN_1799467	SAMD9L	sterile alpha motif domain containing 9 like	1.03	7.981
ILMN_1799848	ANKRD22	ankyrin repeat domain 22	3.591	12.77
ILMN_1800530	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	-1.025	3.26
ILMN_1800958	TMEM237	transmembrane protein 237	-1.496	3.932
ILMN_1801254			1.431	7.989
ILMN_1801313	SIAH2	siah E3 ubiquitin protein ligase 2	1.106	7.917
ILMN_1801762	PFDN4	prefoldin subunit 4	-1.111	3.558
ILMN_1801776	PSG9	pregnancy specific beta-1-glycoprotein 9	1.273	4.522
ILMN_1805750	IFITM3	interferon induced transmembrane protein 3	1.906	9.374
ILMN_1806056	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8	1.197	3.199
ILMN_1806907	PAWR	pro-apoptotic WT1 regulator	-1.048	3.956
ILMN_1807423	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	1.154	9.716
ILMN_1808132	FAS	Fas cell surface death receptor	1.05	4.325
ILMN_1808238	RBPMS2	RNA binding protein with multiple splicing 2	1.018	1.944
ILMN_1808783	STRBP	spermatid perinuclear RNA binding protein	-1.104	7.616
ILMN_1808979	CLEC4D	C-type lectin domain family 4 member D	1.451	6.906
ILMN_1809467	VAMP5	vesicle associated membrane protein 5	1.395	14.13
ILMN_1810289	MYOF	myoferlin	1.126	9.081
ILMN_1810374	TMEM156	transmembrane protein 156	-1.034	5.707
ILMN_1811110	TDRD9	tudor domain containing 9	1.098	5.361
ILMN_1813544	OXCT1	3-oxoacid CoA-transferase 1	-1.041	5.978
ILMN_1814917	TLE2	transducin like enhancer of split 2	-1.127	3.029
ILMN_1815054	ADGRG3	adhesion G protein-coupled receptor G3	1.079	5.549
ILMN_1821975			-1.099	6.528
ILMN_1822307			-1.054	3.262
ILMN_1822671			-1.722	6.04
ILMN_1823172			-1.108	3.64
ILMN_1829737			1.31	5.801
ILMN_1836776	MPRIP	myosin phosphatase Rho interacting protein	-1.076	5.296
ILMN_1843403			-1.05	7.175
ILMN_1851599			2.87	13.247
ILMN_1853116			-1.109	6.028
ILMN_1859584	LOC101930164	uncharacterized LOC101930164	1.768	8.103
ILMN_1860051			2.4	11.872
ILMN_1862909	RORA	RAR related orphan receptor A	-1.005	8.488
ILMN_1871233			-1.033	8.261
ILMN_1880611			1.327	4.99
ILMN_1887011			-1.73	6.423
ILMN_1896455			1.065	6.268
ILMN_1903064			1.358	6.599
ILMN_1904578	TENM1	teneurin transmembrane protein 1	-1.273	6.088
ILMN_1910120	RRN3P1	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1	-1.137	4.699
ILMN_1911677			-1.023	6.211
ILMN_1912287	SUCNR1	succinate receptor 1	1.11	3.454
ILMN_2047676	OSGEPL1	O-sialoglycoprotein endopeptidase-like 1	-1.206	7.436
ILMN_2048591	LRRN3	leucine rich repeat neuronal 3	-1.387	4.135
ILMN_2048607	ANKRD9	ankyrin repeat domain 9	1.048	6.376
ILMN_2053527	PARP9	poly(ADP-ribose) polymerase family member 9	1.203	7.803
ILMN_2054019	ISG15	ISG15 ubiquitin-like modifier	1.321	3.506
ILMN_2055781	KLRF1	killer cell lectin like receptor F1	-1.007	5.412
ILMN_2058468	BACH2	BTB domain and CNC homolog 2	-1.114	6.143
ILMN_2062714	PTGDR	prostaglandin D2 receptor	-1.099	7.673
ILMN_2066849	FAM26F	family with sequence similarity 26 member F	1.036	7.072
ILMN_2067682			-1.049	4.415
ILMN_2076602	ITM2A	integral membrane protein 2A	-1.057	2.999
ILMN_2079655	KLRB1	killer cell lectin like receptor B1	-1.163	9.697
ILMN_2090004	AQP10	aquaporin 10	1.537	6.763
ILMN_2092333	GPR141	G protein-coupled receptor 141	1.24	4.709
ILMN_2092850	HPSE	heparanase	1.294	9.061
ILMN_2093864	ZNF571	zinc finger protein 571	-1.272	3.913
ILMN_2094875	ABCB1	ATP binding cassette subfamily B member 1	-1.003	6.036
ILMN_2098013	CETP	cholesteryl ester transfer protein	1.108	5.929
ILMN_2102721	DEFA1B	defensin alpha 1B	1.276	3.144
ILMN_2114568	GBP5	guanylate binding protein 5	2.173	16.326
ILMN_2126706	LMNB1	lamin B1	1.271	8.021
ILMN_2128770	CDR2L	cerebellar degeneration related protein 2 like	1.049	5.037
ILMN_2143314	SPIB	Spi-B transcription factor	-1.458	6.281
ILMN_2144426	HIST2H2AA3	histone cluster 2, H2aa3	1.154	9.125
ILMN_2148785	GBP1	guanylate binding protein 1	1.934	13.21
ILMN_2165289	DEFA3	defensin alpha 3	1.185	2.922
ILMN_2167426	ASPHD2	aspartate beta-hydroxylase domain containing 2	1.157	13.094
ILMN_2168217	GPR183	G protein-coupled receptor 183	-1.144	9.951
ILMN_2169261	TNNI2	troponin I2, fast skeletal type	1.456	4.787
